code,airline,belongs
0A,Amber Air|琥珀航空,立陶宛
0B,Blue Air,罗马尼亚
0D,Darwin Airline|达尔文航空,瑞士
0J,Jetclub,瑞士
0K,Air Kokshetau,哈萨克
1A,Amadeus Global Travel Distribution|艾玛迪斯全球旅游分销系统公司,西班牙
1B,Abacus International|环亚旅游资讯系统有限公司,新加坡
1C,EDS Information Business,瑞士
1D,Radixx Solutions International,美国
1E,TravelSky Technology Limited|中国民航信息网络股份有限公司,中华人民共和国
1F,INFINI Travel Information,日本
1G,伽利略国际公司,美国
1H,Siren-Travel,俄罗斯
1I,Netjets Aviation,美国
1J,爱克森斯国际科技有限公司,日本
1K,Sutra,美国
1L,Open Skies,美国
1M,JSC Transport Automated Information Systems (TAIS),俄罗斯
1N,Navitaire,美国
1Q,Sirena,俄罗斯
1R,海南凤凰信息系统,中华人民共和国
1S,Sabre,美国
1T,1Time Airline,南非
1U,Polyot Sirena,俄罗斯
1Y,Electronic Data Systems Corporation,美国
1Z,Sabre Pacific,澳大利亚
2A,Deutsche Bahn|德国铁路,德国
2C,SNCF|法国铁路,法国
2D,Aero VIP,阿根廷
2F,Frontier Flying Service|边际飞行服务,美国
2G,San Juan Airlines|圣璜航空,美国
2H,Thalys|大力士高速列车,比利时|法国|德国|荷兰
2I,Star Up,秘鲁
2J,Air Burkina|布基纳航空,布基纳法索
2L,Helvetic Airways|赫尔维蒂航空,瑞士
2M,Moldovian Airlines|摩尔多瓦航空公司,摩尔多瓦
2N,Yuzmashavia,乌克兰
2O,Air Salone|塞拉里昂航空,塞拉里昂
2P,Air Philippines|菲律宾飞鹰航空, 菲律宾
2R,加拿大 VIA 铁路,加拿大
2S,Island Express|岛屿快递, 美国
2T,Haiti Ambassador Airlines|海地大使航空,海地
2U,Air Guinee Express,几内亚空中快递,几内亚
2V,Amtrak|美国国铁, 美国
2W,Welcome Air,奥地利
3K,Jetstar Asia|捷星亚洲航空,新加坡
3U,Sichuan Airlines|四川航空,中国
3A,珠江客运,中国
3Q,云南航空,中国大陆
4A,Air Kiribati|基里巴斯航空,基里巴斯
4D,Air Sinai|西奈航空,埃及
4K,Askari Aviation Pvt Limited,巴基斯坦
4L,Air Astana|阿斯坦纳航空,哈萨克
4R,HI Hamburg International|汉堡国际,德国
4U,Germanwings,德国
5C,CAL Cargo Air Lines,以色列
5D,V-Bird Airlines,荷兰
5G,Skyservice Airlines,加拿大
